Vessel) CatID=1
Syringe) CatID=101
Pippete) CatID=102
Tube) CatID=103
IVBag) CatID=104
DripChamber) CatID=105
IVBottle) CatID=106
Beaker) CatID=107
RoundFlask) CatID=108
Cylinder) CatID=109
SeparatoryFunnel) CatID=110
Funnel) CatID=111
Burete) CatID=112
ChromatographyColumn) CatID=113
Condenser) CatID=114
Bottle) CatID=115
Jar) CatID=116
Connector) CatID=117
Flask) CatID=118
Cup) CatID=119
Bowl) CatID=120
Erlenmeyer) CatID=121
Vial) CatID=122
Dish) CatID=123
HeatingVessel) CatID=124
Transparent) CatID=502
SemiTrans) CatID=503
Opaque) CatID=504
Cork) CatID=3
Label) CatID=2
Part) CatID=4
Spike) CatID=505
Valve) CatID=506
DisturbeView) CatID=507
Liquid) CatID=6
Foam) CatID=8
Suspension) CatID=7
Solid) CatID=10
Filled) CatID=16
Powder) CatID=12
Urine) CatID=201
Blood) CatID=202
MaterialOnSurface) CatID=601
MaterialScattered) CatID=602
PropertiesMaterialInsideImmersed) CatID=603
PropertiesMaterialInFront) CatID=604
Gel) CatID=9
Granular) CatID=11
SolidLargChunk) CatID=13
Vapor) CatID=14
Other Material) CatID=15
VesselInsideVessel) CatID=401
VesselLinked) CatID=402
PartInsideVessel) CatID=701
SolidIncludingParts) CatID=257
MagneticStirer) CatID=251
Thermometer) CatID=252
Spatula) CatID=253
Holder) CatID=254
Filter) CatID=255
PipeTubeStraw) CatID=256
